"A History of Violence – 35mm","2024/03/08 10:30",96,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

After a family man is unexpectedly hailed a hero, a sinister stranger arrives in town who claims to know him, putting his past under scrutiny and his present under threat.

Tom (Viggo Mortensen) has a cosy family life in small-town Indiana with his wife (Maria Bello) and kids Jack and Sarah (Ashton Holme and Heidi Hayes). When Tom foils a robbery at his diner, he is hailed a hero, but the publicity sparks the arrival of a sinister stranger (Ed Harris), who claims to know him as a violent wise guy named “Joey”. David Cronenberg’s Oscar-nominated nail-biter spirals as the mystery gradually unravels with splashes of brutality and dark humour along the way. Beyond the central performances, William Hurt puts in a wonderful against-type and Oscar-nominated turn late in the film.","Viggo Mortensen, Maria Bello, Ed Harris","Action","Crime, Drama","David Cronenberg","18","Strong Language, Strong physical violence, Blood","Our Story So Far","https://www.youtube.com/watch?v=89oWVqLOXMw?si=PQugmogPbVxa95CB","https://indy-systems.imgix.net/ljk241uco56vnva63v8saapx96cq"
"A House In Jerusalem","2024/03/06 20:15",103,"GFT 2","After a grieving dad and his daughter move from England to Jerusalem, she encounters a little girl that only she can see in this touching supernatural exploration of friendship and loss.

After her mother dies in an accident, grieving Rebecca (Miley Locke) and her father (Johnny Harris) move from England to Jerusalem in a bid to make a fresh start. In a covered well in the garden, Rebecca finds an old doll and soon encounters a little girl of the same age who only she can see. Palestinian director Muayad Alayan employs the supernatural subtly as Rebecca starts to work through her grief at the same time as trying to unravel a mystery. An atmospheric and moving exploration of friendship and coming to terms with trauma and the ghosts of the past.

English, Arabic and Hebrew with English subtitles.","Johnny Harris, Miley Locke, Sheherazade Makhoul Farrell","Drama","Fantasy","Muayad Alayan","N/C 12+","Threat, Images of War, Mild sexual references","","https://www.youtube.com/watch?v=wjmrpI7GBtQ?si=y5MJFUBdaqHREGiw","https://indy-systems.imgix.net/kdlxhtcp7w1vs3snezciqqv68e3a"
"A House In Jerusalem","2024/03/07 15:30",103,"GFT 2","After a grieving dad and his daughter move from England to Jerusalem, she encounters a little girl that only she can see in this touching supernatural exploration of friendship and loss.

After her mother dies in an accident, grieving Rebecca (Miley Locke) and her father (Johnny Harris) move from England to Jerusalem in a bid to make a fresh start. In a covered well in the garden, Rebecca finds an old doll and soon encounters a little girl of the same age who only she can see. Palestinian director Muayad Alayan employs the supernatural subtly as Rebecca starts to work through her grief at the same time as trying to unravel a mystery. An atmospheric and moving exploration of friendship and coming to terms with trauma and the ghosts of the past.

English, Arabic and Hebrew with English subtitles.","Johnny Harris, Miley Locke, Sheherazade Makhoul Farrell","Drama","Fantasy","Muayad Alayan","N/C 12+","Threat, Images of War, Mild sexual references","","https://www.youtube.com/watch?v=wjmrpI7GBtQ?si=y5MJFUBdaqHREGiw","https://indy-systems.imgix.net/kdlxhtcp7w1vs3snezciqqv68e3a"
"About Dry Grasses","2024/03/09 19:00",197,"GFT 3","A slow-burn character study unfolds against the beautiful and bitter cold of an Anatolian winter as a frustrated teacher at a rural school tries to manipulate those in his orbit. 

Official Entry: Turkey - Best International Feature - 96th Academy Awards®

Samet (Deniz Celiloglu) is frustrated with his art teacher job in a rural backwater of Anatolia, where the snow falls constantly in winter. This slow-burn character study follows Samet over the course of a school year, first as his manipulations of pupil Sevim (Ece Bagci) land himself and his colleague Kenan (Musab Ekici) in hot water, then as his narcissism leads him to try and put an end to Kenan’s friendship with fellow teacher Nuray (Merve Dizdar). Intellectually rigorous and beautifully shot, Nuri Bilge Ceylan asks us not just to consider Samet, but the political and social fabric of Turkey itself, from different perspectives.   

Turkish with English subtitles.","Deniz Celiloglu, Merve Dizdar, Musab Ekici","Drama","","Nuri Bilge Ceylan","N/C 15+","","","https://www.youtube.com/watch?v=Ywajc6S8YEg?si=LlRbRakpyjOwQnKn","https://indy-systems.imgix.net/f8cnc1y5v168rb2jlep30ow9yjx6"
"About Dry Grasses","2024/03/10 13:00",197,"GFT 3","A slow-burn character study unfolds against the beautiful and bitter cold of an Anatolian winter as a frustrated teacher at a rural school tries to manipulate those in his orbit. 

Official Entry: Turkey - Best International Feature - 96th Academy Awards®

Samet (Deniz Celiloglu) is frustrated with his art teacher job in a rural backwater of Anatolia, where the snow falls constantly in winter. This slow-burn character study follows Samet over the course of a school year, first as his manipulations of pupil Sevim (Ece Bagci) land himself and his colleague Kenan (Musab Ekici) in hot water, then as his narcissism leads him to try and put an end to Kenan’s friendship with fellow teacher Nuray (Merve Dizdar). Intellectually rigorous and beautifully shot, Nuri Bilge Ceylan asks us not just to consider Samet, but the political and social fabric of Turkey itself, from different perspectives.   

Turkish with English subtitles.","Deniz Celiloglu, Merve Dizdar, Musab Ekici","Drama","","Nuri Bilge Ceylan","N/C 15+","","","https://www.youtube.com/watch?v=Ywajc6S8YEg?si=LlRbRakpyjOwQnKn","https://indy-systems.imgix.net/f8cnc1y5v168rb2jlep30ow9yjx6"
"After Hours","2024/03/04 20:30",97,"GFT 1","GFT’s long-running Scorsese of the Month season comes to GFF for a second year, with the UK premiere of the 4K restoration of Martin Scorsese’s darkly comic tale from 1985.

Desperate to escape his mind-numbing routine, uptown Manhattan office worker Paul Hackett (Griffin Dunne) ventures downtown for a hookup with a mystery woman (Rosanna Arquette). So begins the wildest night of his life, as bizarre occurrences—involving underground-art punks, a distressed waitress, a crazed Mister Softee truck driver, and a bagel-and-cream-cheese paperweight—pile up with anxiety-inducing relentlessness and thwart his attempts to get home. The first of Scorsese’s seven collaborations with genius cinematographer Michael Ballhaus, who also shot Goodfellas and The Age of Innocence, After Hours is an often-overlooked gem from one of the greatest American filmmakers.","Griffin Dunne, Rosanna Arquette, Verna Bloom","Comedy","Crime, Drama","Martin Scorsese","15","Violence, Strong sexual references","","https://www.youtube.com/watch?v=OZzb_6LtMjY?si=Ne0DRMn7GG7bjlQn","https://indy-systems.imgix.net/7jhs296lsgunpx2ohym59s3g873n"
"All You Need Is Death","2024/03/09 20:25",90,"GFT 1","Eerie folk horror shocker follows a young couple in rural Ireland on the trail of an ancient taboo ballad unaware it could unlock a dark truth that will alter their lives.

A young couple (Simone Collins and Charlie Maher) records and collects folk songs in rural Ireland, selling them to a mysterious, rich buyer. When rumours of a never-heard-before song reach the couple, they find themselves in an uneasy alliance with a music professor to discover an ancient tune. The taboo ballad may end up unlocking some dark truth from the forgotten past that will alter all their isolated lives. Echoing the early work of Ben Wheatley and Peter Strickland, Paul Duane’s ethnomusicology shocker is one of the most unique, wild, eerie and unsettling cautionary folk horror tales of the year.
","Sarah Burns, Simone Collins, Olwen Fouéré","Horror","","Paul Duane","N/C 18+","Psychological Horror, Strong sexual references","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/nql1qwe5xyuujjue3fehj43isomv"
"Asog","2024/02/29 20:45",101,"Cineworld Screen 1","Directed by Filipino-Chinese-Irish Canadian comedian and filmmaker Seán Devlin Asog follows Jaya; a non-binary school teacher on a journey of self-discovery, starring survivors of the Yolanda typhoon in the Philippines.

Seán Devlin’s trans road movie spans fact, fiction and magic realism as it sees victims of the Yolanda typhoon play fictionalised versions of themselves, telling folktales of their real-life experiences. Asog charts TV Presenter and school teacher Jaya (Rey Aclao) and their former student Arlen (Arnel Pablo) as they join forces and embark on the trip of a lifetime, in a humorous and healing address of not only the Typhoon Haiyan disaster, but ideas of climate change, colonialism, and corporate greed.

Tagalog and Filipino with English subtitles.","Rey Aclao, Amelia De La Cruz, Ricky Gacho Jr.","Comedy","Drama, Biography","Seán Devlin","N/C 15+","Mild sexual references, Flashing lights / strobe effects","","https://www.youtube.com/watch?v=xx57G5RFiSM?si=dDOE3t9NnvC1Um7V","https://indy-systems.imgix.net/mt3suj58hqww0xjejrrizzspjren"
"Asog","2024/03/01 18:00",101,"Cineworld Screen 1","Directed by Filipino-Chinese-Irish Canadian comedian and filmmaker Seán Devlin Asog follows Jaya; a non-binary school teacher on a journey of self-discovery, starring survivors of the Yolanda typhoon in the Philippines.

Seán Devlin’s trans road movie spans fact, fiction and magic realism as it sees victims of the Yolanda typhoon play fictionalised versions of themselves, telling folktales of their real-life experiences. Asog charts TV Presenter and school teacher Jaya (Rey Aclao) and their former student Arlen (Arnel Pablo) as they join forces and embark on the trip of a lifetime, in a humorous and healing address of not only the Typhoon Haiyan disaster, but ideas of climate change, colonialism, and corporate greed.

Tagalog and Filipino with English subtitles.","Rey Aclao, Amelia De La Cruz, Ricky Gacho Jr.","Comedy","Drama, Biography","Seán Devlin","N/C 15+","Mild sexual references, Flashing lights / strobe effects","","https://www.youtube.com/watch?v=xx57G5RFiSM?si=dDOE3t9NnvC1Um7V","https://indy-systems.imgix.net/mt3suj58hqww0xjejrrizzspjren"
"Baby Assassins 2 Babies","2024/03/06 20:45",101,"Cineworld Screen 1","The kick-ass assassins with slacker tendencies are back in a fast-paced and funny sequel that sees them trying to pay off a gym debt while avoiding losing their spot in the Assassins’ Guild to a pair of rivals.

Odd couple Chisato (Akari Takaishi) and Mahiro (Saori Izawa) are back as a pair of kick-ass assassins with slacker tendencies in Yugo Sakamoto's fast-paced and funny sequel. When Chisato discovers their gym payment is four-years overdue, the duo are forced to ditch their desserts in a bid to settle their debts. But it’s not so easy after they find themselves suspended from the Assassins’ Guild and with a pair of brothers keen to take their place. Mixing coming-of-age comedy with action, you don’t need to have seen the original to fall in love with this killer double-act this time around.

Japanese with English subtitles.","Akari Takaishi, Saori Izawa, Oto Abe","Action","Comedy, Crime","Yûgo Sakamoto
","N/C 18+","Murder, Strong Language, Strong physical violence, Blood","","https://www.youtube.com/watch?v=x4OuasPBqgE?si=NEB2vnVE7yxrWJAO","https://indy-systems.imgix.net/vs2wxt3tmyuvwk5a6q05g26szqk6"
