11151, 2024-02-28, "Opening Gala: Love Lies Bleeding", 104, "Love and violence come together in an explosive cocktail in this thriller starring Kristen Stewart as a gym manager who falls for a bodybuilder, with dangerous implications for them both.  When gym manager Lou (Kristen Stewart) meets bodybuilder Jackie (Katy O’Brian) as she heads through town for Las Vegas, the pair embark on a romance. But their burgeoning feelings for one another come under threat thanks to the criminal activities of Lou’s family. Rose Glass achieved critical acclaim with her chilling British-set debut Saint Maud. Here she proves equally adept at embracing small-town Americana to craft a sharply stylish thriller that packs plenty of emotional heat. Beyond the gripping central performances, Ed Harris offers menacing support as Lou’s ne’er do well father, who has attracted the attention of the FBI.   This screening is rated N/C 18+ due to the sale of alcoholic refreshments.", "Anna Baryshnikov, Kristen Stewart, Dave Franco", "Action", "N/C 18+", "Strong Physical Violence, Strong Sexual References, Mild Nudity, Murder, Blood/Gore"
11125, 2024-02-29, "Martinez", 93, "Droll but sensitive comedy sees an ageing and curmudgeonly office worker on the cusp of retirement discover there’s more to life than he thought after the death of his neighbour.  A pitch-perfect performance from Francisco Reyes (who provided memorable support in A Fantastic Woman) helps Martinez gain a place among cinema’s great curmudgeons. Martinez, an office worker on the cusp of retirement, whose life is one of solitary dull routine, is less than happy when he’s told to train up his enthusiastic replacement Pablo (Humberto Busto). But could the unexpected death of Martinez’s neighbour prove there’s still some life in the old dog yet? First-time director Lorena Padilla brings a sweet-natured charm and droll sense of humour to her tale of new beginnings being found in unexpected places.  Spanish with English subtitles.", "Humberto Busto, Martha Claudia Moreno, Francisco Reyes", "Comedy", "N/C 15+", "Mild sexual references"
11125, 2024-03-01, "Martinez", 93, "Droll but sensitive comedy sees an ageing and curmudgeonly office worker on the cusp of retirement discover there’s more to life than he thought after the death of his neighbour.  A pitch-perfect performance from Francisco Reyes (who provided memorable support in A Fantastic Woman) helps Martinez gain a place among cinema’s great curmudgeons. Martinez, an office worker on the cusp of retirement, whose life is one of solitary dull routine, is less than happy when he’s told to train up his enthusiastic replacement Pablo (Humberto Busto). But could the unexpected death of Martinez’s neighbour prove there’s still some life in the old dog yet? First-time director Lorena Padilla brings a sweet-natured charm and droll sense of humour to her tale of new beginnings being found in unexpected places.  Spanish with English subtitles.", "Humberto Busto, Martha Claudia Moreno, Francisco Reyes", "Comedy", "N/C 15+", "Mild sexual references"
11135, 2024-02-29, "Mr. and Mrs. Stodola", 107, "Psychologically-driven true crime thriller charting how manipulation and a malevolent marriage led to murder as a Czech couple begin to target their elderly neighbours in a twisted killing spree.   Documentarian Petr Hátle turns his hand to fiction with this true crime tale that begins with a robbery-turned-bad and quickly spirals into a dark psychological thriller of twisted romance and emotional manipulation. Czech couple Dana and Jaroslav Stodola (Lucie Zácková and Jan Hájek) think stealing their elderly neighbour’s savings will be an easy way to make some quick cash but after their mark is accidentally killed it sparks a lust for more within the pair. Hátle’s focus is not on the murders themselves but the disturbing and deadly power dynamic that develops between Dana and Jaroslav as their spree escalates.     Czech with English subtitles.", "Jan Hájek, Lucie Zácková", "Drama", "N/C 15+", "Murder, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Racism/ discrimination/ slurs"
11135, 2024-03-01, "Mr. and Mrs. Stodola", 107, "Psychologically-driven true crime thriller charting how manipulation and a malevolent marriage led to murder as a Czech couple begin to target their elderly neighbours in a twisted killing spree.   Documentarian Petr Hátle turns his hand to fiction with this true crime tale that begins with a robbery-turned-bad and quickly spirals into a dark psychological thriller of twisted romance and emotional manipulation. Czech couple Dana and Jaroslav Stodola (Lucie Zácková and Jan Hájek) think stealing their elderly neighbour’s savings will be an easy way to make some quick cash but after their mark is accidentally killed it sparks a lust for more within the pair. Hátle’s focus is not on the murders themselves but the disturbing and deadly power dynamic that develops between Dana and Jaroslav as their spree escalates.     Czech with English subtitles.", "Jan Hájek, Lucie Zácková", "Drama", "N/C 15+", "Murder, Strong Language/ Swearing, Strong physical violence, Blood/ gore, Mild sexual references, Racism/ discrimination/ slurs"
11152, 2024-02-29, "Gestures of Memory: The Cemetery of Cinema", 93, "The filmmaker embarks on a journey to understand the production behind the first film made in Guinea and French-speaking Africa - Mouramani (1953), directed by Mamadou Touré - and to locate a copy of its print.   The search for the lost film, which becomes almost mythical in the process, also uncovers a reflection on the importance of physical spaces where records can be stored and accessed, such as the archive as a method for preserving film histories. In turn, the documentary prompts a discussion on the shifting cultural and historical attitudes towards cinema and the various teachings of film education.   French with subtitles ", "Thierno Souleymane Diallo, Penda Lam, Aboubacar Condé", "Documentary", "N/C 15+", ""
11162, 2024-02-29, "Asog", 101, "Directed by Filipino-Chinese-Irish Canadian comedian and filmmaker Seán Devlin Asog follows Jaya; a non-binary school teacher on a journey of self-discovery, starring survivors of the Yolanda typhoon in the Philippines.  Seán Devlin’s trans road movie spans fact, fiction and magic realism as it sees victims of the Yolanda typhoon play fictionalised versions of themselves, telling folktales of their real-life experiences. Asog charts TV Presenter and school teacher Jaya (Rey Aclao) and their former student Arlen (Arnel Pablo) as they join forces and embark on the trip of a lifetime, in a humorous and healing address of not only the Typhoon Haiyan disaster, but ideas of climate change, colonialism, and corporate greed.  Tagalog and Filipino with English subtitles.", "Rey Aclao, Amelia De La Cruz, Ricky Gacho Jr.", "Comedy", "N/C 15+", "Mild sexual references, Flashing lights / strobe effects"
11162, 2024-03-01, "Asog", 101, "Directed by Filipino-Chinese-Irish Canadian comedian and filmmaker Seán Devlin Asog follows Jaya; a non-binary school teacher on a journey of self-discovery, starring survivors of the Yolanda typhoon in the Philippines.  Seán Devlin’s trans road movie spans fact, fiction and magic realism as it sees victims of the Yolanda typhoon play fictionalised versions of themselves, telling folktales of their real-life experiences. Asog charts TV Presenter and school teacher Jaya (Rey Aclao) and their former student Arlen (Arnel Pablo) as they join forces and embark on the trip of a lifetime, in a humorous and healing address of not only the Typhoon Haiyan disaster, but ideas of climate change, colonialism, and corporate greed.  Tagalog and Filipino with English subtitles.", "Rey Aclao, Amelia De La Cruz, Ricky Gacho Jr.", "Comedy", "N/C 15+", "Mild sexual references, Flashing lights / strobe effects"
11167, 2024-02-29, "Black Dog", 96, "An extrovert foster kid desperate to see his sister ends up on an unexpected road trip with an introverted fellow teen in actor-turned-director George Jacques’s funny and touching tale of friendship and moving on.  Jamie Flatters (Avatar: The Way of Water) and newcomer Keenan Munn-Francis prove great company in this funny and touching coming of age story from actor-turned-director George Jaques’s (A Town Called Malice). Extroverted loose cannon foster kid Nathan (Flatters) is the polar opposite of the buttoned up Sam (Munn-Francis) but when they unexpectedly end up leaving London on a road trip to Scotland together a journey of connection is about to begin. Jaques (who co-wrote the script with Flatters) creates a road trip to remember, blending high energy comedy with moments of poignant connection as the pair learn about one another and themselves.", "Jamie Flatters, Keenan Munn-Francis, Nicholas Pinnock", "Drama", "N/C 15+", "Strong Language, Mild physical violence, Blood, Suicide"
11167, 2024-03-01, "Black Dog", 96, "An extrovert foster kid desperate to see his sister ends up on an unexpected road trip with an introverted fellow teen in actor-turned-director George Jacques’s funny and touching tale of friendship and moving on.  Jamie Flatters (Avatar: The Way of Water) and newcomer Keenan Munn-Francis prove great company in this funny and touching coming of age story from actor-turned-director George Jaques’s (A Town Called Malice). Extroverted loose cannon foster kid Nathan (Flatters) is the polar opposite of the buttoned up Sam (Munn-Francis) but when they unexpectedly end up leaving London on a road trip to Scotland together a journey of connection is about to begin. Jaques (who co-wrote the script with Flatters) creates a road trip to remember, blending high energy comedy with moments of poignant connection as the pair learn about one another and themselves.", "Jamie Flatters, Keenan Munn-Francis, Nicholas Pinnock", "Drama", "N/C 15+", "Strong Language, Mild physical violence, Blood, Suicide"
